gene	chain	n	x	y	ci_lower	ci_upper	functionality
TRBV10-3	BV	134	1	3.587898296644174	3.272278791404049	3.9035178018842993	F
TRBV11-1	BV	134	1	0.30508883270300785	0.2751293692733619	0.3350482961326538	F
TRBV11-2	BV	134	1	2.0669262402290824	1.8543528188571667	2.2794996616009984	F
TRBV11-3	BV	134	1	0.7145132275291962	0.2942216992502676	1.134804755808125	F
TRBV12-2	BV	65	1	0.008948119644896634	0.005112277401332368	0.012783961888460899	P
TRBV12-3	BV	134	1	1.4761297107469724	1.3882476154248666	1.5640118060690782	F
TRBV12-4	BV	134	1	0.9344366692503779	0.8214932354732712	1.0473801030274845	F
TRBV12-5	BV	134	1	0.20438897057878133	0.17429137653760635	0.23448656461995632	F
TRBV13	BV	134	1	0.1483114679815918	0.12055241034444979	0.17607052561873385	F
TRBV14	BV	134	1	0.40732404467473843	0.37633109994816233	0.4383169894013145	F
TRBV15	BV	134	1	2.5438897438603734	2.1150564752873917	2.972723012433355	F
TRBV16	BV	131	1	0.03397656066889701	0.028282406439372826	0.039670714898421194	F
TRBV17	BV	9	1	0.0014414633094904223	0.0003060920080859876	0.002576834610894857	ORF
TRBV18	BV	134	1	2.072370839205193	1.8898599074076026	2.254881771002784	F
TRBV19	BV	134	1	0.6776251458936524	0.6134596267336909	0.7417906650536139	F
TRBV2	BV	134	1	2.6947468026840036	2.529712751282401	2.859780854085606	F
TRBV20-1	BV	134	1	9.630277608570124	9.285012986810269	9.975542230329978	F
TRBV21-1	BV	134	1	0.3957064066189887	0.3677811080048969	0.4236317052330805	P
TRBV23-1	BV	134	1	0.03621611656002751	0.0306320306126573	0.041800202507397716	ORF
TRBV24-1	BV	134	1	2.6848301725231676	2.3734329522500346	2.9962273927963006	F
TRBV25-1	BV	134	1	0.8820140248076286	0.8151170056542444	0.9489110439610128	F
TRBV27	BV	134	1	3.5736014185805245	3.178733517901108	3.968469319259941	F
TRBV28	BV	134	1	5.261199750382706	4.640561713961967	5.881837786803445	F
TRBV29-1	BV	134	1	6.970090953360175	6.6554069669864075	7.284774939733942	F
TRBV3-1	BV	134	1	1.9844467582446041	1.6851496256879148	2.2837438908012935	F
TRBV3-2	BV	15	1	0.0005571131441577976	0.00024828813359331853	0.0008659381547222767	P
TRBV30	BV	134	1	0.332500507361073	0.27247122966607784	0.39252978505606817	F
TRBV4-1	BV	134	1	3.429363044455009	3.067570541111902	3.791155547798116	F
TRBV4-2	BV	134	1	2.4587080294227484	2.214292510951645	2.703123547893852	F
TRBV4-3	BV	109	1	3.4399843019704357	3.113477203369477	3.7664914005713945	F
TRBV5-1	BV	134	1	13.82515684135761	13.222298008746858	14.42801567396836	F
TRBV5-3	BV	134	1	0.02656645972283871	0.02097806941674505	0.03215485002893237	ORF
TRBV5-4	BV	134	1	0.4909979545890577	0.45210177174708643	0.529894137431029	F
TRBV5-5	BV	134	1	1.0768937214943635	1.0222150278976534	1.1315724150910735	F
TRBV5-6	BV	134	1	1.839064999853785	1.5761980437705585	2.1019319559370113	F
TRBV5-7	BV	117	1	0.011442573820964558	0.005199314155674199	0.017685833486254916	ORF
TRBV5-8	BV	134	1	0.20875726938636036	0.16155120032470865	0.25596333844801206	F
TRBV6-1	BV	134	1	1.0526323928388643	0.9888430713550962	1.1164217143226325	F
TRBV6-4	BV	134	1	0.6502743124896846	0.5375685442788319	0.7629800807005372	F
TRBV6-5	BV	134	1	3.6762542891947363	3.4088805330496452	3.9436280453398274	F
TRBV6-6	BV	134	1	0.978521723283839	0.9273529198316784	1.0296905267359995	F
TRBV6-7	BV	119	1	0.008309608204816207	0.006935054663027517	0.009684161746604898	ORF
TRBV6-8	BV	125	1	0.008301249336670693	0.0059246055200542925	0.010677893153287094	F
TRBV6-9	BV	116	1	0.008062566732026818	0.006321550257378683	0.009803583206674953	F
TRBV7-1	BV	7	1	0.001432184856724786	0.00046907147005472935	0.0023952982433948426	ORF
TRBV7-2	BV	134	1	4.852897128364876	4.544203527465411	5.16159072926434	F
TRBV7-3	BV	134	1	1.4193578912639218	1.1719626945984418	1.6667530879294017	F
TRBV7-4	BV	132	1	0.014667151626840019	0.012637297529738505	0.016697005723941533	F
TRBV7-5	BV	117	1	0.005514663422811288	0.00383551137176853	0.007193815473854046	P
TRBV7-6	BV	134	1	0.9483616577896794	0.8408549491827984	1.0558683663965605	F
TRBV7-7	BV	134	1	0.3175275664963942	0.2834191040045798	0.35163602898820856	F
TRBV7-8	BV	134	1	1.6387177945610782	1.3633793744955582	1.9140562146265983	F
TRBV7-9	BV	134	1	3.8381890693362686	3.56407170175071	4.112306436921827	F
TRBV9	BV	134	1	3.7541580784501374	3.507374164454063	4.000941992446212	F
TRBVC	BV	107	1	0.0057693932569407675	0.004586830033536892	0.006951956480344643	P
